"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"Lebenshilfe gGmbH";"Jugend";"Projektförderung";"2009";"Heinrich-Heine-Str. 15, 10179 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kinder- und Jugendambulanz, Prenzlauer Berg";"382264"
"Lebenshilfe gGmbH";"Jugend";"Projektförderung";"2009";"Heinrich-Heine-Str. 15, 10179 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kinder- und Jugendambulanz, Treptow";"342662"
"Mannege e. V.";"Jugend";"Projektförderung";"2009";"Marienburger Str. 28, 10405 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"97100"
"Märchenland e.V.";"Jugend";"Projektförderung";"2009";"Spreeufer 5, 10178 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Berliner Märchentage";"21319"
"MUT Gesellschaft für Gesundheit mbH";"Jugend";"Projektförderung";"2009";"Rudofstr. 11, 10245 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"50500"
"Nachbarschaft- und Selbsthilfe-Zentrum in der UFA-Fabrik - NUSZ";"Jugend";"Projektförderung";"2009";"Viktoriastr. 13, 12105 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"28100"
"Nachbarschaftsheim Schöneberg e.V.";"Jugend";"Projektförderung";"2009";"Holsteinische Str. 30, 12161 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"23000"
"Navitas gGmbH";"Jugend";"Projektförderung";"2009";"Karl-Marx-Str. 206, 12055 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Aufsuchende Elternhilfe";"103800"
"Neuhland e.V.";"Jugend";"Projektförderung";"2009";"Nikolsburger Platz 6, 10717 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Beratungsstellen, Krisenwohnungen";"513340"
"Notdienst für Suchtmittelgefährdete und -abhängige Berlin e.V.";"Jugend";"Projektförderung";"2009";"Ansbacher Str. 11, 10787 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"ambulante Maßnahmen nach dem JGG (Kurs ""Spaß ohne Gras"")";"5454"
"pad e.V.";"Jugend";"Projektförderung";"2009";"Kastanienallee 55, 12627 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"ambulante Maßnahmen nach dem JGG (Graffiti-Projekt)";"43460"
"pad e.V.";"Jugend";"Projektförderung";"2009";"Kastanienallee 55, 12627 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Fortführung Programm AgAG";"66468"
"Pfefferwerk Stadtkultur gGmbH";"Jugend";"Projektförderung";"2009";"Fehrbelliner Str. 92, 10119 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"ambulante Maßnahmen nach dem JGG (""Quartal"")";"116697"
"Ring deutscher Pfadfinder";"Jugend";"Projektförderung";"2009";"Waldemarstr. 10, 10999 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"94884"
"SHIA e.V. - SelbestHilfeInitiative Alleinerziehender Landesverband Berlin";"Jugend";"Projektförderung";"2009";"Rudolf-Schwarz-Str. 29, 10407 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"69600"
"Sonnenuhr e.V.,";"Jugend";"Projektförderung";"2009";"Schönhauser Allee 36-39, 10435 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Musisch-kulturelle Jugendarbeit mit behinderten und nichtbehinderten Kindern und Jugendlichen";"51539"
"SOS-Kinderdorf e.V. ; SOS Familienzentrum Berlin";"Jugend";"Projektförderung";"2009";"Alte Hellersdorfer Str. 77, 12629 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Erziehungs- und Familienberatungsstellen ";"184060"
"Sozialistische Jugend Deutschlands SJD - ; Die Falken";"Jugend";"Projektförderung";"2009";"Ratenower Str. 16, 10559 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"134713"
"Stiftung Sozialpädagogisches Institut Berlin";"Jugend";"Projektförderung";"2009";"Belforter Straße 20, 10405 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Drehscheibe Kinder- und Jugendpolitik";"122000"
"Sozialverband VdK e.V.";"Jugend";"Projektförderung";"2009";"Berliner Str. 40-41, 10715 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kinder- und Jugendambulanz";"1838660"
"Sozialverband VdK e.V.";"Jugend";"Projektförderung";"2009";"Berliner Str. 40-41, 10715 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Koordinierungsstelle für KJA";"122272"
"Spastikerhilfe Berlin eG";"Jugend";"Projektförderung";"2009";"Lindenstr. 20-25, 10969 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kinder- und Jugendambulanz";"1085260"
"Spastikerhilfe Berlin eG";"Jugend";"Projektförderung";"2009";"Lindenstr. 20-25, 10969 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Therapiebad";"49000"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"FAN-Projekt Berlin";"136936"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Grundförderung Jugendbildungsstätte";"208711"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Integration junger Menschen mit Migrationshintergrund";"50158"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"164880"
"abw-gemeinnützige Gesellschaft für Arbeit, Bildung, Wohnen mbH";"Jugend";"Projektförderung";"2009";"Sophie-Charlotten-Str. 83 a, 14059 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Berufliche Qualifizierung";"163000"
"abw-gemeinnützige Gesellschaft für Arbeit, Bildung, Wohnen mbH";"Jugend";"Projektförderung";"2009";"Sophie-Charlotten-Str. 83 a, 14059 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Mietkostenzuschuss ""Nachschlag""";"10800"
"Alte Feuerwache e.V.";"Jugend";"Projektförderung";"2009";"Axel - Springer - Str. 40/41, 10969 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Grundförderung Jugendbildungsstätte";"208824"
"Amt für kirchliche Dienste in der Evangelischen Kirche Berlin- Brandenburg-schlesische Oberlausitz";"Jugend";"Projektförderung";"2009";"Goethestr. 26-30, 10625 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"16400"
"Amt für kirchliche Dienste in der Evangelischen Kirche Berlin- Brandenburg-schlesische Oberlausitz";"Jugend";"Projektförderung";"2009";"Goethestr. 26-30, 10625 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sozialdiakonisches Verbundprojekt";"388735"
"Arbeiterwohlfahrt - AWO - Berlin Kreisverband Südost";"Jugend";"Projektförderung";"2009";"Erkstr. 1, 12043 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Erziehungs- und Familienberatungsstellen ";"184060"
"Arbeiterwohlfahrt LV Berlin e.V. JKZ Pumpe";"Jugend";"Projektförderung";"2009";"Blücherstrasse 62 , 10961 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Einzelmaßnahmen im Rahmen der Jugendarbeit (techn. Ausstattung)";"10000"
"Arbeiterwohlfahrt LV Berlin e.V. JKZ Pumpe";"Jugend";"Projektförderung";"2009";"Blücherstrasse 62, 10961 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Förderung JugendkulturZentrum Pumpe";"174862"
"Arbeiterwohlfahrt, Landesverband Berlin e.V.";"Jugend";"Projektförderung";"2009";"Blücherstr. 62, 10961 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Vormundschaften/Pflegschaften";"1541000"
"Arbeterwohlfahrt-Landesjugendwerk der AWO ; Landesverband Berlin e.V.";"Jugend";"Projektförderung";"2009";"Albrechtstr. 110, 12103 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"33714"
"Arbeitskreis für Auditiv-Verbale Erziehung e.V.";"Jugend";"Projektförderung";"2009";"Wiltbergstr. 50, 13125 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Fachambulanz ";"72548"
"Arbeitskreis Neue Erziehung e.V.";"Jugend";"Projektförderung";"2009";"Hasenheide 54, 10967 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Elternbriefe und andere sozialpädagogische Maßnahmen";"379375"
"Arbeitskreis Neue Erziehung e.V.";"Jugend";"Projektförderung";"2009";"Hasenheide 54, 10967 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Erziehungs- und Familienberatungsstellen ";"184060"
"Arbeitskreis zur Förderung von Pflegekindern e.V.";"Jugend";"Projektförderung";"2009";"Dudenstr. 10, 10965 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Werbung und Beratung von Pflegeeltern";"279900"
"Autismus Deutschland Landesverband Berlin e.V.,";"Jugend";"Projektförderung";"2009";"Güntzelstr. 17, 10717 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Fachambulanz ";"439736"
"Autismus Deutschland Landesverband Berlin e.V.";"Jugend";"Rahmenvereinbarung";"2009";"Güntzelstr. 17, 10717 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderkindertagesstätte Liebigstr.";"103728"
"Autismus Deutschland Landesverband Berlin e.V.";"Jugend";"Rahmenvereinbarung";"2009";"Güntzelstr. 17, 10717 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderkindertagesstätte Sponholzstr.";"115156"
"BalanX e.V.";"Jugend";"Projektförderung";"2009";"Weichselstr. 49, 12045 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"ambulante Maßnahmen nach dem JGG (Kurs ""Kiff im Griff"")";"6550"
"Beratung + Leben gGmbH / Sozialprojekt Reisefieber";"Jugend";"Projektförderung";"2009";"Holsteinische Str. 59, 10717 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Integrationsmaßnahmen";"58802"
"Beratung + Leben gGmbH";"Jugend";"Projektförderung";"2009";"Am kleinen Wannsee 5, 14109 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Erziehungs- und Familienberatungsstellen ";"184060"
"Beratung + Leben gGmbH";"Jugend";"Projektförderung";"2009";"Am kleinen Wannsee 5, 14109 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienerholungsmaßnahmen";"9400"
"Berliner Jugendfeuerwehr, Geschäftsstelle";"Jugend";"Projektförderung";"2009";"Märkische Allee 181, 12681 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"37961"
"Berliner Jugendrotkreuz";"Jugend";"Projektförderung";"2009";"Bachestr. 11, 12161 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"37020"
"Berliner Parkeisenbahn gGmbH,; FEZ Wuhlheide";"Jugend";"Projektförderung";"2009";"An der Wuhlheide 189, 12459 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Personalkostenzuschuss Berliner Parkeisenbahn";"15340"
"BG Spastikerhilfe e.G.";"Jugend";"Rahmenvereinbarung";"2009";"Lindenstr. 20-25, 10969 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderkindertagesstätte";"229560"
"Bildungswerk für Jugend - Soziales Kultur gGmbH";"Jugend";"Projektförderung";"2009";"Postfach 770313, 13003 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Durchführung von Ferienlagern ";"6217"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kooperationsprogramm Schule/Verein";"440866"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Mobile Stadtteilarbeit";"55475"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"SportJugendClub Lichtenberg";"110541"
"Sportjugend im Landessportbund Berlin e.V.";"Jugend";"Projektförderung";"2009";"Jesse-Owens-Allee 2, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Umbau Jugendbildungsstätte";"31222"
"Sterntal GmbH";"Jugend";"Projektförderung";"2009";"Lefèvrestraße 20, 12161 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Integrationsmaßnahmen";"25447"
"Stiftung Demokratische Jugend";"Jugend";"Projektförderung";"2009";"Grünberger Str. 54, 10245 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Unterhaltung der Geschäftsstelle";"80500"
"Stiftung Demokratische Jugend";"Jugend";"Projektförderung";"2009";"Grünberger Str. 54, 10245 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderprogramm respectABel";"15000"
"Stiftung Demokratische Jugend";"Jugend";"Projektförderung";"2009";"Grünberger Str. 54, 10245 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderprogramm respectABel";"11200"
"Stiftung Hilfe für die Familie; ";"Jugend";"Projektförderung";"2009";"Oranienburger Str. 13-14, 10178 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbeirat";"190000"
"Stiftung Sozialpädagogisches Institut Berlin ; Soziale Räume und Projekte ; ";"Jugend";"Projektförderung";"2009";"Belforter Str. 20, 10405 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"ambulante Maßnahmen nach dem JGG (Diversion)";"404662"
"Stiftung Sozialpädagogisches Institut Berlin ; Soziale Räume und Projekte ; ";"Jugend";"Projektförderung";"2009";"Belforter Str. 20, 10405 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Clearingstelle Jugendhilfe-Polizei";"102258"
"Stiftung Sozialpädagogisches Institut Berlin ; Soziale Räume und Projekte ; ";"Jugend";"Projektförderung";"2009";"Belforter Str. 20, 10405 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"minderjährige unbegleitete Flüchtlinge";"154500"
"Strohhalm e.V.; ";"Jugend";"Projektförderung";"2009";"Luckauer Str. 2, 10969 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Hilfen bei sexuellem Missbrauch";"121780"
"Sub/Way berlin e.V. (jetzt Hilfe-für-Jungs e.V.)";"Jugend";"Projektförderung";"2009";"Nollendorfstr. 31, 10777 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"berliner jungs";"30000"
"Sub/Way berlin e.V. (jetzt Hilfe-für-Jungs e.V.)";"Jugend";"Projektförderung";"2009";"Nollendorfstr. 31, 10777 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Straßensozialarbeit für Jungs";"157000"
"Technische Jugendfreizeit und Bildungsgesellschaft mbH";"Jugend";"Projektförderung";"2009";"Wilhelmstraße 52, 10117 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"JugendTechnikSchule";"150000"
"Thomas-Haus Berlin e.V.B185";"Jugend";"Rahmenvereinbarung";"2009";"Peter-Lenne-Str. 42, 14195 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderkindertagesstätte";"640135"
"Treberhilfe Berlin gGmbH";"Jugend";"Projektförderung";"2009";"Hauptstr. 9, 10827 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"ambulante Maßnahmen nach dem JGG (""SToP"")";"190000"
"Türkisch-Deutscher-Frauenverein e.V.";"Jugend";"Projektförderung";"2009";"Postfach 410266, 12112 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Beratungsstellen, Krisenwohnungen";"342720"
"UFA-Fabrik";"Jugend";"Projektförderung";"2009";"Viktoriastraße 13, 12105 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kindercircusschule und Festivals";"36813"
"ver.di Bildungsstätte Berlin-Konradshöhe e.V.";"Jugend";"Projektförderung";"2009";"Stößerstr. 18, 13505 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Grundförderung Jugendbildungsstätte";"156844"
"Verband Alleinerziehender Mütter und Väter Landesverband Berlin e.V. - VAMV -";"Jugend";"Projektförderung";"2009";"Seelingstr. 13, 14059 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"87900"
"Verband für sozial-kulturelle Arbeit, Landesgruppe Berlin e.V.";"Jugend";"Projektförderung";"2009";"Tucholskystr. 11, 10117 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Fortführung Programm AgAG";"66468"
"Verband für sozial-kulturelle Arbeit, Landesgruppe Berlin e.V.";"Jugend";"Projektförderung";"2009";"Tucholskystr. 11, 10117 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Maßnahmen im Rahmen der ""Verstärkung der Jugendarbeit""";"137000"
"Verband für sozial-kulturelle Arbeit, Landesgruppe Berlin e.V.";"Jugend";"Projektförderung";"2009";"Tucholskystr. 11, 10117 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Mobile Jugendsozialarbeit";"1028120"
"Verbund für integrative soziale und therapeutische Arbeit - VISTA - gGmbH";"Jugend";"Projektförderung";"2009";"Alte Jakobstr. 85/86, 10179 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Aufsuchende Elternhilfe";"90000"
"Verein für Sport und Jugendsozialarbeit e.V.";"Jugend";"Projektförderung";"2009";"Hanns-Braun-Straße, Friesenhaus II, 14053 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Streetball-Nights";"8900"
"Verein zur Förderung der Interkulturellen Jugendarbeit e.V. Schlesische 27";"Jugend";"Projektförderung";"2009";"Schlesische Str. 27, 10997 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Betrieb des Jugendkunst- und Kulturzentrum Schlesische 27";"280570"
"Volksbund Deutsche Kriegsgräberfürsorge e.V., LV Berlin";"Jugend";"Projektförderung";"2009";"Lützowufer 1, 10785 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Jugendverbandsarbeit";"8000"
"wannseeFORUM / ; Wannseeheim für Jugendarbeit e.V.";"Jugend";"Projektförderung";"2009";"Hohenzollernstraße 14, 14109 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Grundförderung Jugendbildungsstätte";"417874"
"wannseeFORUM / ; Wannseeheim für Jugendarbeit e.V.";"Jugend";"Projektförderung";"2009";"Hohenzollernstraße 14, 14109 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Ökotechnische Werkstatt / Life";"6039"
"wannseeFORUM / ; Wannseeheim für Jugendarbeit e.V.";"Jugend";"Projektförderung";"2009";"Hohenzollernstraße 14, 14109 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderprogramm respectABel";"55000"
"wannseeFORUM / ; Wannseeheim für Jugendarbeit e.V.";"Jugend";"Projektförderung";"2009";"Hohenzollernstraße 14, 14109 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Sonderprogramm respectABel";"5000"
"Werkstatt für Bildung und Begegnung e.V. - LABUDE -";"Jugend";"Projektförderung";"2009";"Wilhelminenhofstr. 19, 12459 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienbildungsarbeit";"39000"
"WeTek Berlin gGmbH";"Jugend";"Projektförderung";"2009";"Christinenstr. 18/19, 10119 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"einmalige Sachkosten für Rockmobil";"10000"
"WeTek Berlin gGmbH";"Jugend";"Projektförderung";"2009";"Christinenstr. 18/19, 10119 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Rockmobil, HipHop Mobil";"114517"
"Wildwasser e.V.";"Jugend";"Projektförderung";"2009";"Wriezener Str. 10-11, 13359 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Beratungsstellen, Krisenwohnungen";"451990"
"Zentrum für Kindesentwicklung e.V.";"Jugend";"Projektförderung";"2009";"Ritterstr. 3, 10969 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Kinder- und Jugendambulanz";"558267"
"Zusammenwirken im Familienkonflikt - ZIF -";"Jugend";"Projektförderung";"2009";"Mehringdamm 50, 10961 Berlin";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"Familienberatung/gerichtsnahe Beratung";"167890"
"Zusammenfassung Zuwendungen unter 5.000,- €";"Jugend";"Projektförderung";"2009";" ";"Senatsverwaltung für Bildung, Wissenschaft und Forschung";"verschiedene Maßnahmen";"24874"
"Stiftung SPI";"Jugend";"Projektförderung";"2009";"Geschäftsbereich Soziale Räume u. Projekte ; Belforter Str.20 ; 10405 Berlin";"Bezirksamt Mitte";"new way";"89057"
"Stiftung SPI";"Jugend";"Projektförderung";"2009";"Geschäftsbereich Soziale Räume u. Projekte ; Belforter Str.20 ; 10405 Berlin";"Bezirksamt Mitte";"Stadt der Kinder";"86046"
"Stiftung SPI";"Jugend";"Projektförderung";"2009";"Geschäftsbereich Soziale Räume u. Projekte ; Belforter Str.20 ; 10405 Berlin";"Bezirksamt Mitte";"Mädea";"101851"
"Verband für sozial-kulturelle Arbeit; Landesgruppe Berlin e.V.";"Jugend";"Projektförderung";"2009";"Tucholskystr. 11 ; 10117 Berlin";"Bezirksamt Mitte";"Outreach (Mobile Jugendarbeit Tiergarten im Bezirk Mitte)";"47000"
"Verein für Kinder- und Jugendsozialarbeit e.V.";"Jugend";"Projektförderung";"2009";"Hansastr. 16 ; 13409 Berlin";"Bezirksamt Mitte";"KiezKulturEtage";"39042"
"Weddinger Kinderfarm e. V.";"Jugend";"Projektförderung";"2009";"Luxemburger Str. 25 ; 13353 Berlin";"Bezirksamt Mitte";"Weddinger Kinderfarm";"133237"
"Zukunftsbau GmbH";"Jugend";"Projektförderung";"2009";"Strelitzer Str. 60 ; 10115 Berlin";"Bezirksamt Mitte";"Jugendberatungshaus compass.mitte";"51581"
"Kulturnetzwerk Neukölln e.V.";"Jugend";"Projektförderung";"2009";"Karl-Marx-Str. 131, 12043 Berlin";"Bezirksamt Neukölln";"Kinder- und Jugendprojekte beim Festival ""48 Stunden Neukölln"" 2009";"2600"
"Aufbruch Neukölln e.V.";"Jugend";"Projektförderung";"2009";"Eichenauer Weg 5 A, 12355 Berlin";"Bezirksamt Neukölln";"Sachkosten für folgende fünf Projekte: ""Präventive mobile Beratung"", ""Unser neues Dorf"", ""Väter und Männer im Gespräch"", ""Mütter im Gespräch"" und ""Eltern in der Schule und Eltern in der Kita""";"1000"
"casablanca - innovative Jugendhilfe ; und soziale Dienste gGmbH";"Jugend";"Projektförderung";"2009";"Strelitzer Str. 60 ; 10115 Berlin";"Bezirksamt Mitte";"frisbee- Kinder- und Stadtteiltreff";"47041"
"casablanca - innovative Jugendhilfe ; und soziale Dienste gGmbH";"Jugend";"Projektförderung";"2009";"Strelitzer Str. 60 ; 10115 Berlin";"Bezirksamt Mitte";"frisbee- Kinder- und Stadtteiltreff- erweitertes Angebot am Standort Koloniestr. 116";"94146"
"Club Dialog e.V.";"Jugend";"Projektförderung";"2009";"Friedrichstr. 176 - 179 ; 10117 Berlin";"Bezirksamt Mitte";"Interkulturelles Jugendzentrum ""Schalasch""";"61948"
"Deutscher Kinderschutzbund Landesverband Berlin e.V.";"Jugend";"Projektförderung";"2009";"Malplaquetstr. 38 ; 13347 Berlin";"Bezirksamt Mitte";"Schülerladen A13";"117688"
"Deutsches Rotes Kreuz; Kreisverband Wedding / Prenzlauer Berg e.V.";"Jugend";"Projektförderung";"2009";"Neue Hochstr. 21 ;13347 Berlin";"Bezirksamt Mitte";"Jugendladen Wedding";"61255"
"Diakoniegemeinschaft Bethania e.V.";"Jugend";"Projektförderung";"2009";"Waldstr. 32 ; 10551 Berlin";"Bezirksamt Mitte";"KiBiz - Kinder im Beusselkiez B8 - Haus für junge Menschen";"75586"
"Diakoniegemeinschaft Bethania e.V.";"Jugend";"Projektförderung";"2009";"Waldstr. 32 ; 10551 Berlin";"Bezirksamt Mitte";"Huttenkids & Co";"37061"
"DOST e.V.";"Jugend";"Projektförderung";"2009";"Rostocker Str. 32 ; 10553 Berlin";"Bezirksamt Mitte";"Hausaufgabenhilfe";"6489"
"Ev. Kirchengemeinde am Humboldthain";"Jugend";"Projektförderung";"2009";"Gustav-Meyer-Allee 2 ; 13355 Berlin";"Bezirksamt Mitte";"teeny Musik treff";"36642"
"Evangelisches Klubheim für Berufstätige e.V.";"Jugend";"Projektförderung";"2009";"Perleberger Str. 14 ; 10559 Berlin";"Bezirksamt Mitte";"Jugendklub Schlupfwinkel";"63705"
"FIPP e.V.";"Jugend";"Projektförderung";"2009";"Großbeerenstr. 71 ; 10963 Berlin";"Bezirksamt Mitte";"Kinder- und Jugend-Treff-Punkt Kluckstraße 11";"57303"
"FIPP e.V.";"Jugend";"Projektförderung";"2009";"Großbeerenstr. 71 ; 10963 Berlin";"Bezirksamt Mitte";"Fipp-Treff an der Röhl-GS";"100436"
"Frecher Spatz e. V.";"Jugend";"Projektförderung";"2009";"Kirchstr. 2 ; 10557 Berlin";"Bezirksamt Mitte";"Kiez Kids Klub (K 3) - Lückeprojekt";"48365"
"Gangway e.V.";"Jugend";"Projektförderung";"2009";"Schumannstr. 5 ; 10117 Berlin";"Bezirksamt Mitte";"Kofinanzierung Streetworkteams Mitte/Wedding/Tiergarten";"121500"
"IN VIA Katholische Mädchensozialarbeit für das Erzbistum Berlin e.V.";"Jugend";"Projektförderung";"2009";"Tübinger Str. 5 ; 10715 Berlin";"Bezirksamt Mitte";"IN VIA Jugendgemeinschaftswerk / Cafe VIA";"7670"
"Julateg Wedding e.V.";"Jugend";"Projektförderung";"2009";"Lynarstr. 14 ; 13353 Berlin";"Bezirksamt Mitte";"Julateg - Jugendprojekt";"95469"
"Karame e.V.";"Jugend";"Projektförderung";"2009";"Wilhelmshavener Str. 22 ; 10551 Berlin";"Bezirksamt Mitte";"Palästina Sportverein,  Prinz-Eugen-Str. 17";"21932"
"Karame e.V.";"Jugend";"Projektförderung";"2009";"Wilhelmshavener Str. 22 ; 10551 Berlin";"Bezirksamt Mitte";"Jugendclub Karame  Wilhelmshavener Str.22";"62641"
"Kinderclub Berlin e.V.";"Jugend";"Projektförderung";"2009";"Milan Str. 28 ; 13505 Berlin";"Bezirksamt Mitte";"Kinderclub Soldinerstr. 5";"9972"
